Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
137,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,291.52,358.18," 27,906 ",,,,,,,,,,,
138,FAI,Fairbanks International,Fairbanks,AK,373.76,459.21," 27,618 ",,,,,,,,,,,
139,PVU,Provo Municipal,Provo,UT,105.93,130.15," 27,400 ",,,,,,,,,,,
140,FWA,Fort Wayne International,Fort Wayne,IN,215.39,264.64," 26,685 ",,,,,,,,,,,
141,TLH,Tallahassee International,Tallahassee,FL,368.94,453.30," 25,686 ",,,,,,,,,,,
142,MSO,Missoula Montana,Missoula,MT,324.47,398.65," 25,558 ",,,,,,,,,,,
143,CAK,Akron-Canton Regional,Akron,OH,277.39,340.81," 25,340 ",,,,,,,,,,,
144,BIL,Billings Logan International,Billings,MT,346.38,425.58," 25,278 ",,,,,,,,,,,
145,STT,Cyril E King,Charlotte Amalie,VI,333.96,410.31," 23,386 ",,,,,,,,,,,
146,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,336.28,413.16," 22,788 ",,,,,,,,,,,
147,PIA,General Downing - Peoria International,Peoria,IL,190.41,233.94," 22,607 ",,,,,,,,,,,
148,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,297.16,365.10," 21,711 ",,,,,,,,,,,
149,AMA,Rick Husband Amarillo International,Amarillo,TX,270.26,332.05," 21,618 ",,,,,,,,,,,
150,FCA,Glacier Park International,Kalispell,MT,344.25,422.95," 21,498 ",,,,,,,,,,,
151,ROA,Roanoke Blacksburg Regional,Roanoke,VA,299.34,367.78," 21,008 ",,,,,,,,,,,
152,CHO,Charlottesville Albemarle,Charlottesville,VA,268.31,329.66," 20,466 ",,,,,,,,,,,
153,MLI,Quad Cities International,Moline,IL,240.40,295.36," 20,094 ",,,,,,,,,,,
154,RAP,Rapid City Regional,Rapid City,SD,305.82,375.75," 20,028 ",,,,,,,,,,,
155,SBP,San Luis County Regional,San Luis Obispo,CA,350.72,430.91," 19,797 ",,,,,,,,,,,
156,FNT,Bishop International,Flint,MI,188.34,231.41," 19,789 ",,,,,,,,,,,
157,CRP,Corpus Christi International,Corpus Christi,TX,305.63,375.51," 19,530 ",,,,,,,,,,,
158,PAE,Snohomish County,Everett,WA,251.64,309.17," 19,523 ",,,,,,,,,,,
159,SHV,Shreveport Regional,Shreveport,LA,339.27,416.84," 19,446 ",,,,,,,,,,,
160,TVC,Cherry Capital,Traverse City,MI,300.83,369.61," 19,320 ",,,,,,,,,,,
161,BGR,Bangor International,Bangor,ME,287.32,353.02," 19,034 ",,,,,,,,,,,
162,GRB,Green Bay Austin Straubel International,Green Bay,WI,296.25,363.99," 18,187 ",,,,,,,,,,,
163,BIS,Bismarck Municipal,Bismarck/Mandan,ND,289.30,355.45," 17,904 ",,,,,,,,,,,
164,BLI,Bellingham International,Bellingham,WA,177.44,218.01," 17,664 ",,,,,,,,,,,
165,AGS,Augusta Regional at Bush Field,Augusta,GA,261.82,321.68," 17,458 ",,,,,,,,,,,
166,IDA,Idaho Falls Regional,Idaho Falls,ID,321.74,395.30," 17,151 ",,,,,,,,,,,
167,DAB,Daytona Beach International,Daytona Beach,FL,249.68,306.77," 16,860 ",,,,,,,,,,,
168,JAC,Jackson Hole,Jackson,WY,433.23,532.29," 16,840 ",,,,,,,,,,,
169,TTN,Trenton Mercer,Trenton,NJ,112.30,137.97," 16,828 ",,,,,,,,,,,
170,GNV,Gainesville Regional,Gainesville,FL,280.06,344.10," 16,639 ",,,,,,,,,,,
171,EYW,Key West International,Key West,FL,352.89,433.57," 16,616 ",,,,,,,,,,,
