Average Domestic Airline Itinerary Fares By Origin City for Q3 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
61,BOI,Boise Air Terminal,Boise,ID,252.49,306.74," 1,35,151 ",,,,,,,,,,,
62,ORF,Norfolk International,Norfolk,VA,282.33,343.00," 1,35,070 ",,,,,,,,,,,
63,MEM,Memphis International,Memphis,TN,251.96,306.10," 1,33,439 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,239.08,290.45," 1,33,295 ",,,,,,,,,,,
65,PVD,Rhode Island Tf Green International,Providence,RI,227.61,276.52," 1,23,931 ",,,,,,,,,,,
66,GRR,Gerald R. Ford International,Grand Rapids,MI,247.90,301.17," 1,22,792 ",,,,,,,,,,,
67,SDF,Louisville Muhammad Ali International,Louisville,KY,248.82,302.29," 1,22,639 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,262.30,318.67," 1,21,164 ",,,,,,,,,,,
69,ELP,El Paso International,El Paso,TX,259.29,315.01," 1,20,309 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,372.16,452.14," 1,13,291 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,262.53,318.95," 1,12,587 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,201.30,244.56," 1,12,368 ",,,,,,,,,,,
73,RNO,Reno/Tahoe International,Reno,NV,256.04,311.06," 1,09,805 ",,,,,,,,,,,
74,LGB,Long Beach Airport,Long Beach,CA,201.42,244.70," 1,02,848 ",,,,,,,,,,,
75,TUS,Tucson International,Tucson,AZ,267.71,325.24," 1,02,184 ",,,,,,,,,,,
76,SYR,Syracuse Hancock International,Syracuse,NY,270.38,328.49," 94,536 ",,,,,,,,,,,
77,DSM,Des Moines International,Des Moines,IA,233.85,284.11," 91,115 ",,,,,,,,,,,
78,ALB,Albany International,Albany,NY,253.30,307.73," 88,845 ",,,,,,,,,,,
79,TUL,Tulsa International,Tulsa,OK,253.16,307.56," 88,037 ",,,,,,,,,,,
80,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,276.34,335.72," 87,795 ",,,,,,,,,,,
81,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,247.89,301.16," 86,365 ",,,,,,,,,,,
82,HPN,Westchester County,White Plains,NY,256.51,311.63," 85,416 ",,,,,,,,,,,
83,SAV,Savannah/Hilton Head International,Savannah,GA,288.97,351.07," 85,268 ",,,,,,,,,,,
84,ROC,Frederick Douglass Grtr Rochester International,Rochester,NY,250.61,304.47," 81,114 ",,,,,,,,,,,
85,TYS,McGhee Tyson,Knoxville,TN,272.92,331.57," 80,983 ",,,,,,,,,,,
86,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,212.67,258.38," 75,880 ",,,,,,,,,,,
87,GSP,Greenville-Spartanburg International,Greer,SC,273.45,332.21," 74,606 ",,,,,,,,,,,
88,PNS,Pensacola International,Pensacola,FL,257.60,312.96," 72,946 ",,,,,,,,,,,
89,COS,City of Colorado Springs Municipal,Colorado Springs,CO,288.35,350.31," 67,750 ",,,,,,,,,,,
90,MYR,Myrtle Beach International,Myrtle Beach,SC,193.72,235.34," 67,308 ",,,,,,,,,,,
91,MSN,Dane County Regional-Truax Field,Madison,WI,277.47,337.10," 67,201 ",,,,,,,,,,,
92,LIH,Lihue Airport,Lihue,HI,180.44,219.22," 66,233 ",,,,,,,,,,,
93,FAT,Fresno Yosemite International,Fresno,CA,301.39,366.16," 65,689 ",,,,,,,,,,,
94,PWM,Portland International Jetport,Portland,ME,252.59,306.87," 65,280 ",,,,,,,,,,,
95,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,264.63,321.49," 63,818 ",,,,,,,,,,,
96,XNA,Northwest Arkansas National,Fayetteville,AR,296.19,359.84," 60,392 ",,,,,,,,,,,
97,BZN,Bozeman Yellowstone International,Bozeman,MT,300.06,364.54," 56,214 ",,,,,,,,,,,
98,AVL,Asheville Regional,Asheville,NC,233.16,283.26," 52,773 ",,,,,,,,,,,
99,PSP,Palm Springs International,Palm Springs,CA,315.54,383.35," 52,513 ",,,,,,,,,,,
100,GSO,Piedmont Triad International,Greensboro/High Point,NC,288.95,351.04," 52,146 ",,,,,,,,,,,
101,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,253.86,308.41," 50,450 ",,,,,,,,,,,
102,PIE,St Pete Clearwater International,St. Petersburg,FL,97.97,119.03," 48,668 ",,,,,,,,,,,
103,SFB,Orlando Sanford International,Sanford,FL,96.48,117.21," 48,131 ",,,,,,,,,,,
104,EUG,Mahlon Sweet Field,Eugene,OR,286.44,348.00," 48,046 ",,,,,,,,,,,
105,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,253.36,307.80," 46,040 ",,,,,,,,,,,
106,HVN,Tweed New Haven,New Haven,CT,245.16,297.85," 45,855 ",,,,,,,,,,,
107,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,352.58,428.35," 44,464 ",,,,,,,,,,,
108,MDT,Harrisburg International,Harrisburg,PA,278.95,338.89," 42,667 ",,,,,,,,,,,
109,ISP,Long Island MacArthur,Islip,NY,202.30,245.78," 42,627 ",,,,,,,,,,,
110,LEX,Blue Grass,Lexington,KY,277.53,337.17," 42,439 ",,,,,,,,,,,
111,MAF,Midland International Air and Space Port,Midland/Odessa,TX,278.03,337.77," 41,759 ",,,,,,,,,,,
112,FSD,Joe Foss Field,Sioux Falls,SD,276.30,335.68," 40,697 ",,,,,,,,,,,
113,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,111.97,136.03," 40,330 ",,,,,,,,,,,
114,MFE,McAllen International,Mission/McAllen/Edinburg,TX,278.55,338.41," 39,274 ",,,,,,,,,,,
